,Year,Larynx,State
0,1999,64.4,MN
1,2000,64.4,MN
2,2001,65.3,MN
3,2002,64.9,MN
4,2003,66.9,MN
5,2004,65.3,MN
6,2005,66.3,MN
7,2006,62.5,MN
8,2007,66.6,MN
9,2008,64.0,MN
10,2009,67.2,MN
11,2010,65.8,MN
12,2011,66.3,MN
13,2012,67.9,MN
14,2013,72.7,MN
15,2014,66.3,MN
16,2015,72.9,MN
0,2016,69.58486842239147,MN
1,2017,66.14170445646286,MN
2,2018,26.841056125855296,MN
3,2019,41.50997224106707,MN
4,2020,4.28628473223857,MN
5,2021,65.48910414380123,MN
6,2022,0.0,MN
7,2023,97.77252240998041,MN
8,2024,0.0,MN
9,2025,152.6178251745385,MN
