,Year,Lung,State
0,1999,2.1,MO
1,2000,1.8,MO
2,2001,1.8,MO
3,2002,1.8,MO
4,2003,2.0,MO
5,2004,2.0,MO
6,2005,2.1,MO
7,2006,2.0,MO
8,2007,1.9,MO
9,2008,2.5,MO
10,2009,2.5,MO
11,2010,2.0,MO
12,2011,2.0,MO
13,2012,2.7,MO
14,2013,1.8,MO
15,2014,2.2,MO
16,2015,2.3,MO
0,2016,2.805218629657112,MO
1,2017,1.6630342258237676,MO
2,2018,2.914715235059607,MO
3,2019,2.0413988624884505,MO
4,2020,0.701826640863344,MO
5,2021,2.547921622624447,MO
6,2022,1.208791733690725,MO
7,2023,0.3170372840531308,MO
8,2024,1.3682699579837814,MO
9,2025,2.2553203828376227,MO
