,Year,Lung,State
0,1999,8.7,MO
1,2000,8.9,MO
2,2001,7.7,MO
3,2002,8.7,MO
4,2003,8.1,MO
5,2004,8.4,MO
6,2005,8.3,MO
7,2006,7.4,MO
8,2007,6.3,MO
9,2008,7.9,MO
10,2009,9.2,MO
11,2010,8.6,MO
12,2011,9.0,MO
13,2012,8.9,MO
14,2013,8.5,MO
15,2014,7.8,MO
16,2015,8.3,MO
0,2016,8.657531675615795,MO
1,2017,0.48431960247231387,MO
2,2018,5.076017423847534,MO
3,2019,6.753595745039543,MO
4,2020,0.7159275555790918,MO
5,2021,2.9803602062064654,MO
6,2022,5.283722675276216,MO
7,2023,0.0,MO
8,2024,0.0,MO
9,2025,5.838107707432378,MO
