,Year,Larynx,State
0,1999,105.2,MO
1,2000,100.4,MO
2,2001,99.4,MO
3,2002,106.3,MO
4,2003,109.3,MO
5,2004,106.0,MO
6,2005,108.3,MO
7,2006,106.2,MO
8,2007,103.0,MO
9,2008,101.2,MO
10,2009,104.5,MO
11,2010,99.9,MO
12,2011,101.5,MO
13,2012,104.5,MO
14,2013,99.8,MO
15,2014,101.3,MO
16,2015,100.0,MO
0,2016,98.0237740049539,MO
1,2017,75.70245676180738,MO
2,2018,48.1314018878694,MO
3,2019,24.94236654128905,MO
4,2020,31.419191580768633,MO
5,2021,44.5387492783143,MO
6,2022,0.0,MO
7,2023,44.50985928417221,MO
8,2024,0.0,MO
9,2025,24.05848373279406,MO
