,Year,Larynx,State
0,1999,76.4,MT
1,2000,86.6,MT
2,2001,80.4,MT
3,2002,83.3,MT
4,2003,84.2,MT
5,2004,77.5,MT
6,2005,85.0,MT
7,2006,77.4,MT
8,2007,81.8,MT
9,2008,80.1,MT
10,2009,78.3,MT
11,2010,69.6,MT
12,2011,83.1,MT
13,2012,72.3,MT
14,2013,66.6,MT
15,2014,73.5,MT
16,2015,67.4,MT
0,2016,61.66897432473304,MT
1,2017,82.0435275845106,MT
2,2018,20.138126449734585,MT
3,2019,31.162033888590997,MT
4,2020,0.0,MT
5,2021,40.162091530360215,MT
6,2022,0.0,MT
7,2023,72.54986628962729,MT
8,2024,0.0,MT
9,2025,157.44493571767327,MT
