,Year,Larynx,State
0,1999,30.5,NC
1,2000,30.2,NC
2,2001,33.3,NC
3,2002,35.9,NC
4,2003,37.2,NC
5,2004,36.4,NC
6,2005,40.9,NC
7,2006,39.3,NC
8,2007,44.6,NC
9,2008,41.8,NC
10,2009,45.3,NC
11,2010,47.4,NC
12,2011,45.1,NC
13,2012,46.1,NC
14,2013,46.6,NC
15,2014,48.0,NC
16,2015,50.5,NC
0,2016,49.84382466700104,NC
1,2017,45.80472630302351,NC
2,2018,16.494182429920887,NC
3,2019,27.106868386172618,NC
4,2020,0.0,NC
5,2021,18.553366016581002,NC
6,2022,0.0,NC
7,2023,19.012429318216505,NC
8,2024,0.0,NC
9,2025,22.52538523183955,NC
