,Year,Lung,State
0,1999,9.2,NC
1,2000,10.2,NC
2,2001,9.0,NC
3,2002,9.6,NC
4,2003,8.6,NC
5,2004,9.9,NC
6,2005,10.7,NC
7,2006,10.4,NC
8,2007,10.2,NC
9,2008,10.1,NC
10,2009,9.0,NC
11,2010,9.5,NC
12,2011,8.9,NC
13,2012,9.7,NC
14,2013,7.0,NC
15,2014,8.9,NC
16,2015,9.3,NC
0,2016,8.96310744490874,NC
1,2017,4.73986873731627,NC
2,2018,5.191715234644042,NC
3,2019,3.263702250795698,NC
4,2020,2.806690139655057,NC
5,2021,2.2016547638575563,NC
6,2022,1.21550026528471,NC
7,2023,0.8746864529028626,NC
8,2024,0.7534816088453864,NC
9,2025,0.3512251791519996,NC
