,Year,Lung,State
0,1999,8.3,NC
1,2000,7.5,NC
2,2001,7.9,NC
3,2002,6.8,NC
4,2003,7.6,NC
5,2004,8.2,NC
6,2005,7.7,NC
7,2006,7.0,NC
8,2007,7.9,NC
9,2008,7.6,NC
10,2009,8.4,NC
11,2010,7.9,NC
12,2011,7.4,NC
13,2012,7.0,NC
14,2013,7.7,NC
15,2014,7.8,NC
16,2015,7.0,NC
0,2016,7.236137272911998,NC
1,2017,6.544093509992615,NC
2,2018,7.754741256325959,NC
3,2019,5.858888168820049,NC
4,2020,4.415011223695199,NC
5,2021,4.347951712137996,NC
6,2022,2.5041896065922966,NC
7,2023,3.178381047971018,NC
8,2024,2.20599650783224,NC
9,2025,2.0170052319792635,NC
