,Year,Nasal,State
0,1999,0.7,NC
1,2000,0.8,NC
2,2001,1.0,NC
3,2002,0.9,NC
4,2003,0.6,NC
5,2004,1.1,NC
6,2005,0.7,NC
7,2006,0.6,NC
8,2007,1.1,NC
9,2008,1.4,NC
10,2009,1.7,NC
11,2010,1.1,NC
12,2011,1.0,NC
13,2012,1.4,NC
14,2013,1.1,NC
15,2014,1.3,NC
16,2015,1.0,NC
0,2016,0.930429282140227,NC
1,2017,0.6222392700079108,NC
2,2018,0.8139037505639853,NC
3,2019,0.2880914837309626,NC
4,2020,0.5204633958212409,NC
5,2021,0.0,NC
6,2022,0.09230563657497892,NC
7,2023,0.42708826019484164,NC
8,2024,0.0,NC
9,2025,0.3754374376981269,NC
