,Year,Larynx,State
0,1999,75.8,NE
1,2000,76.4,NE
2,2001,79.7,NE
3,2002,79.7,NE
4,2003,78.2,NE
5,2004,89.6,NE
6,2005,81.6,NE
7,2006,81.5,NE
8,2007,81.6,NE
9,2008,74.1,NE
10,2009,73.0,NE
11,2010,75.0,NE
12,2011,74.1,NE
13,2012,78.4,NE
14,2013,78.7,NE
15,2014,77.1,NE
16,2015,73.8,NE
0,2016,70.97726659958737,NE
1,2017,17.491203885709908,NE
2,2018,10.173882621598576,NE
3,2019,5.316877702967156,NE
4,2020,52.29093685423512,NE
5,2021,55.744677690182385,NE
6,2022,29.06921181325758,NE
7,2023,9.615260497483638,NE
8,2024,0.0,NE
9,2025,0.0,NE
