,Year,Larynx,State
0,1999,77.1,NH
1,2000,77.6,NH
2,2001,74.3,NH
3,2002,74.0,NH
4,2003,75.8,NH
5,2004,81.8,NH
6,2005,81.7,NH
7,2006,77.2,NH
8,2007,84.3,NH
9,2008,85.2,NH
10,2009,84.3,NH
11,2010,86.3,NH
12,2011,85.6,NH
13,2012,79.8,NH
14,2013,84.6,NH
15,2014,82.6,NH
16,2015,86.0,NH
0,2016,87.23192973738168,NH
1,2017,49.150059270604,NH
2,2018,59.39165066624522,NH
3,2019,20.21409732048093,NH
4,2020,39.3132179862489,NH
5,2021,28.728659979715232,NH
6,2022,8.13502287513096,NH
7,2023,23.375516684412332,NH
8,2024,6.865962666081342,NH
9,2025,6.373991278407602,NH
