,Year,Lung,State
0,1999,8.1,NJ
1,2000,8.5,NJ
2,2001,8.4,NJ
3,2002,7.7,NJ
4,2003,6.1,NJ
5,2004,7.6,NJ
6,2005,6.7,NJ
7,2006,7.2,NJ
8,2007,7.5,NJ
9,2008,6.5,NJ
10,2009,6.7,NJ
11,2010,5.9,NJ
12,2011,5.0,NJ
13,2012,4.1,NJ
14,2013,6.5,NJ
15,2014,4.4,NJ
16,2015,4.5,NJ
0,2016,4.869660292761025,NJ
1,2017,3.110416180030037,NJ
2,2018,2.0738874222193187,NJ
3,2019,2.489218733317783,NJ
4,2020,2.1270981790276764,NJ
5,2021,1.632229836795356,NJ
6,2022,0.1587589120191022,NJ
7,2023,0.30504272230763085,NJ
8,2024,0.0,NJ
9,2025,0.09562378072658184,NJ
