,Year,Lung,State
0,1999,1.9,NJ
1,2000,1.8,NJ
2,2001,2.3,NJ
3,2002,1.7,NJ
4,2003,1.5,NJ
5,2004,1.9,NJ
6,2005,1.6,NJ
7,2006,1.8,NJ
8,2007,2.0,NJ
9,2008,1.9,NJ
10,2009,1.8,NJ
11,2010,2.0,NJ
12,2011,1.9,NJ
13,2012,1.9,NJ
14,2013,1.5,NJ
15,2014,1.5,NJ
16,2015,1.4,NJ
0,2016,1.4573908208173847,NJ
1,2017,0.49210286934271574,NJ
2,2018,0.2519493169497913,NJ
3,2019,0.14386320033426198,NJ
4,2020,0.4674915827172041,NJ
5,2021,0.6494529447004238,NJ
6,2022,0.34779340834224626,NJ
7,2023,0.12149075940350068,NJ
8,2024,0.0,NJ
9,2025,0.0,NJ
