,Year,Nasal,State
0,1999,0.8,NJ
1,2000,0.7,NJ
2,2001,0.7,NJ
3,2002,0.6,NJ
4,2003,0.5,NJ
5,2004,0.6,NJ
6,2005,0.9,NJ
7,2006,0.8,NJ
8,2007,0.8,NJ
9,2008,0.8,NJ
10,2009,0.8,NJ
11,2010,0.7,NJ
12,2011,0.8,NJ
13,2012,0.6,NJ
14,2013,0.6,NJ
15,2014,0.8,NJ
16,2015,0.8,NJ
0,2016,0.7018124246148918,NJ
1,2017,0.3493946331178635,NJ
2,2018,0.6919174821972895,NJ
3,2019,0.22899426384936905,NJ
4,2020,0.25649950716426045,NJ
5,2021,0.7751186789996215,NJ
6,2022,0.08985608682403068,NJ
7,2023,0.0,NJ
8,2024,0.5742292870467927,NJ
9,2025,0.0,NJ
