,Year,Lung,State
0,1999,7.4,NJ
1,2000,7.7,NJ
2,2001,8.1,NJ
3,2002,7.4,NJ
4,2003,7.4,NJ
5,2004,6.8,NJ
6,2005,7.1,NJ
7,2006,8.3,NJ
8,2007,6.7,NJ
9,2008,6.5,NJ
10,2009,7.3,NJ
11,2010,6.4,NJ
12,2011,6.7,NJ
13,2012,6.3,NJ
14,2013,7.4,NJ
15,2014,6.9,NJ
16,2015,6.5,NJ
0,2016,6.8110572070908075,NJ
1,2017,6.331005546144915,NJ
2,2018,7.065532468274256,NJ
3,2019,3.0455269695159224,NJ
4,2020,4.797959943926503,NJ
5,2021,1.1105962189965635,NJ
6,2022,3.1622524160023984,NJ
7,2023,1.7588095999268485,NJ
8,2024,0.0,NJ
9,2025,3.0932527088372024,NJ
