,Year,Nasal,State
0,1999,0.9,NJ
1,2000,1.0,NJ
2,2001,1.0,NJ
3,2002,1.1,NJ
4,2003,1.0,NJ
5,2004,0.7,NJ
6,2005,0.8,NJ
7,2006,1.0,NJ
8,2007,0.9,NJ
9,2008,1.3,NJ
10,2009,1.1,NJ
11,2010,0.8,NJ
12,2011,0.9,NJ
13,2012,1.1,NJ
14,2013,0.7,NJ
15,2014,0.9,NJ
16,2015,1.0,NJ
0,2016,0.7940435951572005,NJ
1,2017,0.5188510658670178,NJ
2,2018,1.0501678592452963,NJ
3,2019,0.308719328675473,NJ
4,2020,0.5599555318770589,NJ
5,2021,1.0181748499978744,NJ
6,2022,0.0,NJ
7,2023,0.3853342287192856,NJ
8,2024,0.6302004770212253,NJ
9,2025,0.0,NJ
