,Year,Larynx,State
0,1999,57.7,NM
1,2000,58.0,NM
2,2001,60.4,NM
3,2002,63.1,NM
4,2003,56.5,NM
5,2004,57.7,NM
6,2005,61.8,NM
7,2006,59.5,NM
8,2007,61.6,NM
9,2008,56.2,NM
10,2009,55.4,NM
11,2010,55.0,NM
12,2011,57.1,NM
13,2012,56.8,NM
14,2013,54.5,NM
15,2014,55.9,NM
16,2015,54.6,NM
0,2016,54.89624574576962,NM
1,2017,30.736168200915856,NM
2,2018,41.01993132201223,NM
3,2019,24.909491747460994,NM
4,2020,27.82980445344041,NM
5,2021,2.9087099930018,NM
6,2022,10.636769154128443,NM
7,2023,12.179581910132352,NM
8,2024,0.0,NM
9,2025,9.874963453363675,NM
