,Year,Lung,State
0,1999,6.5,NV
1,2000,8.2,NV
2,2001,5.3,NV
3,2002,6.8,NV
4,2003,6.0,NV
5,2004,6.2,NV
6,2005,5.6,NV
7,2006,6.0,NV
8,2007,4.3,NV
9,2008,5.3,NV
10,2009,5.7,NV
11,2010,5.6,NV
12,2011,4.2,NV
13,2012,6.1,NV
14,2013,4.1,NV
15,2014,5.1,NV
16,2015,5.4,NV
0,2016,4.707288229248607,NV
1,2017,4.238921425955675,NV
2,2018,4.90220789840793,NV
3,2019,2.578303876431728,NV
4,2020,3.083768160291429,NV
5,2021,3.505238485254186,NV
6,2022,0.0,NV
7,2023,3.2100301135091773,NV
8,2024,0.0,NV
9,2025,1.21177578678334,NV
