,Year,Larynx,State
0,1999,87.9,NV
1,2000,88.7,NV
2,2001,80.5,NV
3,2002,88.5,NV
4,2003,81.6,NV
5,2004,80.2,NV
6,2005,75.3,NV
7,2006,78.4,NV
8,2007,73.9,NV
9,2008,75.4,NV
10,2009,69.9,NV
11,2010,69.1,NV
12,2011,70.3,NV
13,2012,69.5,NV
14,2013,72.9,NV
15,2014,59.8,NV
16,2015,54.4,NV
0,2016,58.30995792822577,NV
1,2017,62.71252044828737,NV
2,2018,85.07629797485305,NV
3,2019,82.76478094695806,NV
4,2020,31.05667884619292,NV
5,2021,11.055313508002751,NV
6,2022,28.998700097389314,NV
7,2023,69.1859605992437,NV
8,2024,28.113001767689397,NV
9,2025,0.0,NV
