,Year,Larynx,State
0,1999,25.9,NY
1,2000,28.9,NY
2,2001,33.2,NY
3,2002,26.5,NY
4,2003,33.7,NY
5,2004,34.5,NY
6,2005,36.8,NY
7,2006,31.2,NY
8,2007,36.5,NY
9,2008,36.2,NY
10,2009,39.7,NY
11,2010,39.8,NY
12,2011,40.1,NY
13,2012,41.3,NY
14,2013,41.3,NY
15,2014,44.7,NY
16,2015,47.5,NY
0,2016,46.141733359479296,NY
1,2017,40.1742501848343,NY
2,2018,48.96137018252002,NY
3,2019,51.99391717139003,NY
4,2020,26.61739655688786,NY
5,2021,35.329200011237624,NY
6,2022,19.525476837442667,NY
7,2023,38.585934385679195,NY
8,2024,10.238783386117731,NY
9,2025,36.26833486043226,NY
