,Year,Larynx,State
0,1999,32.9,NY
1,2000,33.3,NY
2,2001,33.8,NY
3,2002,35.5,NY
4,2003,36.7,NY
5,2004,37.6,NY
6,2005,37.0,NY
7,2006,37.7,NY
8,2007,39.3,NY
9,2008,40.1,NY
10,2009,41.1,NY
11,2010,42.7,NY
12,2011,43.8,NY
13,2012,42.8,NY
14,2013,40.1,NY
15,2014,41.4,NY
16,2015,42.7,NY
0,2016,44.015210932086006,NY
1,2017,0.0,NY
2,2018,16.149780505908012,NY
3,2019,49.16901825431047,NY
4,2020,14.404441731602414,NY
5,2021,2.9763891141930863,NY
6,2022,47.147114404667796,NY
7,2023,14.199060662823861,NY
8,2024,0.0,NY
9,2025,18.987074839461798,NY
