,Year,Lung,State
0,1999,2.0,NY
1,2000,2.2,NY
2,2001,2.2,NY
3,2002,1.9,NY
4,2003,2.0,NY
5,2004,1.8,NY
6,2005,2.2,NY
7,2006,2.1,NY
8,2007,1.9,NY
9,2008,2.2,NY
10,2009,2.1,NY
11,2010,1.8,NY
12,2011,1.6,NY
13,2012,1.8,NY
14,2013,1.7,NY
15,2014,1.9,NY
16,2015,1.8,NY
0,2016,1.7082506822261112,NY
1,2017,0.9710238860260403,NY
2,2018,1.4248167881086649,NY
3,2019,0.8076698866156877,NY
4,2020,0.808183564822728,NY
5,2021,0.5207026539927648,NY
6,2022,0.2912692417811202,NY
7,2023,0.31595917977127885,NY
8,2024,0.21279341886596262,NY
9,2025,0.11882892343564543,NY
