,Year,Nasal,State
0,1999,0.9,NY
1,2000,0.9,NY
2,2001,0.7,NY
3,2002,0.7,NY
4,2003,1.1,NY
5,2004,1.1,NY
6,2005,0.6,NY
7,2006,0.9,NY
8,2007,0.9,NY
9,2008,1.1,NY
10,2009,1.0,NY
11,2010,1.1,NY
12,2011,1.1,NY
13,2012,0.9,NY
14,2013,1.0,NY
15,2014,1.1,NY
16,2015,1.1,NY
0,2016,1.0559895280760832,NY
1,2017,1.1060869022939956,NY
2,2018,1.0711992395534289,NY
3,2019,0.918834665091692,NY
4,2020,0.7176956540005275,NY
5,2021,0.6957174874526595,NY
6,2022,0.45878629550025785,NY
7,2023,0.6028900011797319,NY
8,2024,0.32892061534181716,NY
9,2025,0.4786666718331962,NY
