,Year,Trachea,State
0,1999,0.3,NY
1,2000,0.4,NY
2,2001,0.3,NY
3,2002,0.3,NY
4,2003,0.3,NY
5,2004,0.2,NY
6,2005,0.3,NY
7,2006,0.3,NY
8,2007,0.2,NY
9,2008,0.4,NY
10,2009,0.3,NY
11,2010,0.4,NY
12,2011,0.3,NY
13,2012,0.3,NY
14,2013,0.3,NY
15,2014,0.4,NY
16,2015,0.3,NY
0,2016,0.41695615677665154,NY
1,2017,0.3586925374549659,NY
2,2018,0.20720367183539,NY
3,2019,0.28115528284844343,NY
4,2020,0.170631595925768,NY
5,2021,0.30437979366122925,NY
6,2022,0.011785012703745046,NY
7,2023,0.35372628816361845,NY
8,2024,0.0,NY
9,2025,0.5591953493391268,NY
