,Year,Larynx,State
0,1999,52.7,OH
1,2000,51.7,OH
2,2001,47.0,OH
3,2002,54.7,OH
4,2003,60.9,OH
5,2004,58.3,OH
6,2005,59.1,OH
7,2006,60.9,OH
8,2007,61.0,OH
9,2008,59.4,OH
10,2009,61.9,OH
11,2010,63.6,OH
12,2011,58.3,OH
13,2012,60.4,OH
14,2013,63.3,OH
15,2014,60.5,OH
16,2015,64.9,OH
0,2016,64.86476691949808,OH
1,2017,37.38348363191663,OH
2,2018,61.28977094553902,OH
3,2019,0.0,OH
4,2020,28.318470454025977,OH
5,2021,29.486667314739602,OH
6,2022,0.0,OH
7,2023,63.19817653576558,OH
8,2024,0.0,OH
9,2025,0.0,OH
