,Year,Larynx,State
0,1999,88.7,OH
1,2000,76.4,OH
2,2001,81.6,OH
3,2002,81.5,OH
4,2003,81.5,OH
5,2004,83.6,OH
6,2005,79.5,OH
7,2006,78.7,OH
8,2007,78.8,OH
9,2008,77.5,OH
10,2009,77.7,OH
11,2010,74.6,OH
12,2011,78.2,OH
13,2012,71.0,OH
14,2013,68.9,OH
15,2014,73.4,OH
16,2015,68.5,OH
0,2016,66.39727449527238,OH
1,2017,67.31294137909416,OH
2,2018,55.24242106413473,OH
3,2019,13.777624454491082,OH
4,2020,41.62422519587039,OH
5,2021,2.797807347410261,OH
6,2022,13.281714921962289,OH
7,2023,10.826541118390944,OH
8,2024,0.0,OH
9,2025,9.957541966028126,OH
