,Year,Lung,State
0,1999,1.6,OH
1,2000,1.8,OH
2,2001,1.7,OH
3,2002,1.7,OH
4,2003,2.2,OH
5,2004,2.6,OH
6,2005,2.2,OH
7,2006,2.0,OH
8,2007,2.1,OH
9,2008,2.3,OH
10,2009,2.2,OH
11,2010,2.4,OH
12,2011,2.7,OH
13,2012,2.3,OH
14,2013,2.5,OH
15,2014,2.1,OH
16,2015,2.5,OH
0,2016,2.2658098680523713,OH
1,2017,2.168358825742801,OH
2,2018,1.324911008908708,OH
3,2019,2.6084274987707374,OH
4,2020,0.062300667582457336,OH
5,2021,3.1561482376410304,OH
6,2022,0.0,OH
7,2023,4.614675366665008,OH
8,2024,0.0,OH
9,2025,8.769766246208128,OH
