,Year,Nasal,State
0,1999,0.7,OH
1,2000,0.7,OH
2,2001,0.5,OH
3,2002,0.6,OH
4,2003,0.6,OH
5,2004,0.5,OH
6,2005,0.6,OH
7,2006,0.7,OH
8,2007,0.4,OH
9,2008,0.6,OH
10,2009,0.7,OH
11,2010,0.9,OH
12,2011,0.6,OH
13,2012,0.5,OH
14,2013,0.5,OH
15,2014,0.7,OH
16,2015,0.7,OH
0,2016,0.7474713793432191,OH
1,2017,0.37762747795329127,OH
2,2018,0.6295533998386528,OH
3,2019,0.7008189351751293,OH
4,2020,0.44174024513087234,OH
5,2021,0.43602790377656836,OH
6,2022,0.24878762581779248,OH
7,2023,0.30011425359494404,OH
8,2024,0.2966292252424252,OH
9,2025,0.3393175282009836,OH
