,Year,Lung,State
0,1999,8.2,OH
1,2000,7.8,OH
2,2001,7.4,OH
3,2002,7.6,OH
4,2003,7.8,OH
5,2004,8.1,OH
6,2005,7.8,OH
7,2006,7.9,OH
8,2007,8.9,OH
9,2008,7.8,OH
10,2009,8.7,OH
11,2010,8.3,OH
12,2011,8.2,OH
13,2012,7.1,OH
14,2013,9.1,OH
15,2014,8.8,OH
16,2015,8.7,OH
0,2016,7.892537426245034,OH
1,2017,8.700559353495823,OH
2,2018,8.47010746405849,OH
3,2019,7.512034611245009,OH
4,2020,3.0941480960801533,OH
5,2021,9.865598280394476,OH
6,2022,0.0,OH
7,2023,8.315570102809176,OH
8,2024,0.0,OH
9,2025,11.380085958432375,OH
