,Year,Nasal,State
0,1999,0.9,OH
1,2000,0.8,OH
2,2001,1.0,OH
3,2002,0.8,OH
4,2003,0.9,OH
5,2004,0.8,OH
6,2005,0.9,OH
7,2006,1.0,OH
8,2007,1.1,OH
9,2008,0.9,OH
10,2009,1.0,OH
11,2010,1.2,OH
12,2011,1.0,OH
13,2012,1.3,OH
14,2013,1.2,OH
15,2014,0.8,OH
16,2015,1.1,OH
0,2016,1.3924937259584544,OH
1,2017,1.0263326552261232,OH
2,2018,1.848904745772027,OH
3,2019,1.1083669801138398,OH
4,2020,0.9865927405802146,OH
5,2021,1.4992009886880997,OH
6,2022,0.0,OH
7,2023,1.308755670801977,OH
8,2024,1.4033324671520082,OH
9,2025,0.0,OH
