,Year,Larynx,State
0,1999,98.6,OH
1,2000,93.0,OH
2,2001,96.9,OH
3,2002,95.3,OH
4,2003,94.4,OH
5,2004,96.9,OH
6,2005,97.8,OH
7,2006,98.2,OH
8,2007,97.4,OH
9,2008,98.7,OH
10,2009,99.0,OH
11,2010,98.3,OH
12,2011,98.1,OH
13,2012,95.9,OH
14,2013,95.8,OH
15,2014,98.1,OH
16,2015,96.3,OH
0,2016,95.03594626526804,OH
1,2017,2.313707539432494,OH
2,2018,34.0320567704975,OH
3,2019,19.875297068085935,OH
4,2020,0.0,OH
5,2021,0.0,OH
6,2022,8.723292873294856,OH
7,2023,0.0,OH
8,2024,0.0,OH
9,2025,2.176686334066309,OH
