,Year,Larynx,State
0,1999,71.8,OK
1,2000,76.1,OK
2,2001,80.2,OK
3,2002,81.4,OK
4,2003,78.6,OK
5,2004,82.0,OK
6,2005,80.8,OK
7,2006,87.0,OK
8,2007,79.1,OK
9,2008,85.7,OK
10,2009,73.8,OK
11,2010,72.9,OK
12,2011,76.7,OK
13,2012,74.1,OK
14,2013,75.6,OK
15,2014,80.6,OK
16,2015,77.1,OK
0,2016,78.79431774144865,OK
1,2017,49.55785351471554,OK
2,2018,15.464912558549592,OK
3,2019,13.485971477282654,OK
4,2020,18.279018932531898,OK
5,2021,24.68935371476293,OK
6,2022,12.618537638052274,OK
7,2023,17.85559802287508,OK
8,2024,0.0,OK
9,2025,9.743430829121259,OK
