,Year,Lung,State
0,1999,8.0,OK
1,2000,7.8,OK
2,2001,8.8,OK
3,2002,8.6,OK
4,2003,7.8,OK
5,2004,6.3,OK
6,2005,7.4,OK
7,2006,8.7,OK
8,2007,7.7,OK
9,2008,7.1,OK
10,2009,8.1,OK
11,2010,7.3,OK
12,2011,5.6,OK
13,2012,6.7,OK
14,2013,7.1,OK
15,2014,7.9,OK
16,2015,6.5,OK
0,2016,6.410914250674612,OK
1,2017,3.3567688923322008,OK
2,2018,7.58534148666389,OK
3,2019,5.147007584022385,OK
4,2020,1.8715128024996774,OK
5,2021,4.862510992048396,OK
6,2022,2.4843620290440764,OK
7,2023,0.0,OK
8,2024,3.228359354910485,OK
9,2025,2.3268473868683115,OK
