,Year,Larynx,State
0,1999,111.6,OK
1,2000,112.4,OK
2,2001,116.1,OK
3,2002,112.7,OK
4,2003,110.5,OK
5,2004,105.4,OK
6,2005,107.4,OK
7,2006,105.8,OK
8,2007,111.2,OK
9,2008,105.7,OK
10,2009,99.0,OK
11,2010,92.0,OK
12,2011,96.3,OK
13,2012,97.3,OK
14,2013,97.3,OK
15,2014,97.7,OK
16,2015,94.3,OK
0,2016,85.65193988182956,OK
1,2017,17.436811392702552,OK
2,2018,92.79823763307252,OK
3,2019,109.07065356718205,OK
4,2020,21.504331547721616,OK
5,2021,42.95987893387303,OK
6,2022,62.20428372570798,OK
7,2023,0.0,OK
8,2024,0.0,OK
9,2025,91.32219661622628,OK
