,Year,Larynx,State
0,1999,83.2,OR
1,2000,80.7,OR
2,2001,78.8,OR
3,2002,80.5,OR
4,2003,78.0,OR
5,2004,81.1,OR
6,2005,82.4,OR
7,2006,79.7,OR
8,2007,73.6,OR
9,2008,77.3,OR
10,2009,76.4,OR
11,2010,72.0,OR
12,2011,73.6,OR
13,2012,71.3,OR
14,2013,75.3,OR
15,2014,72.4,OR
16,2015,65.2,OR
0,2016,68.95004829145537,OR
1,2017,44.5527186302533,OR
2,2018,74.03837139499552,OR
3,2019,26.43631166543801,OR
4,2020,23.888400343493167,OR
5,2021,27.795456236834063,OR
6,2022,1.9005430335326015,OR
7,2023,23.725781241554543,OR
8,2024,0.0,OR
9,2025,0.0,OR
