,Year,Larynx,State
0,1999,55.9,PA
1,2000,55.1,PA
2,2001,64.5,PA
3,2002,66.8,PA
4,2003,62.5,PA
5,2004,62.6,PA
6,2005,66.6,PA
7,2006,66.5,PA
8,2007,63.8,PA
9,2008,66.7,PA
10,2009,69.0,PA
11,2010,68.6,PA
12,2011,64.8,PA
13,2012,61.6,PA
14,2013,67.1,PA
15,2014,62.7,PA
16,2015,66.3,PA
0,2016,59.57288724331365,PA
1,2017,52.94735093494092,PA
2,2018,13.98179002412573,PA
3,2019,62.923194338091974,PA
4,2020,0.0,PA
5,2021,101.41091186286707,PA
6,2022,0.0,PA
7,2023,253.78987472105342,PA
8,2024,0.0,PA
9,2025,650.707201769932,PA
