,Year,Lung,State
0,1999,9.1,PA
1,2000,9.6,PA
2,2001,9.5,PA
3,2002,8.1,PA
4,2003,8.9,PA
5,2004,10.6,PA
6,2005,8.0,PA
7,2006,6.9,PA
8,2007,7.5,PA
9,2008,8.4,PA
10,2009,8.0,PA
11,2010,7.2,PA
12,2011,6.3,PA
13,2012,7.7,PA
14,2013,6.8,PA
15,2014,7.0,PA
16,2015,5.7,PA
0,2016,6.274415167278264,PA
1,2017,6.3238410860177465,PA
2,2018,6.6917753612581805,PA
3,2019,6.175861781982498,PA
4,2020,1.985472284882734,PA
5,2021,4.613324686145277,PA
6,2022,0.0,PA
7,2023,5.076499323892238,PA
8,2024,0.0,PA
9,2025,6.468964355478235,PA
