,Year,Lung,State
0,1999,1.9,PA
1,2000,2.0,PA
2,2001,2.0,PA
3,2002,2.2,PA
4,2003,2.4,PA
5,2004,2.6,PA
6,2005,1.6,PA
7,2006,2.0,PA
8,2007,1.9,PA
9,2008,1.7,PA
10,2009,2.2,PA
11,2010,1.9,PA
12,2011,2.3,PA
13,2012,1.8,PA
14,2013,2.3,PA
15,2014,2.2,PA
16,2015,2.0,PA
0,2016,2.156158917253916,PA
1,2017,2.005783873588747,PA
2,2018,1.2846408553122748,PA
3,2019,1.7152898109711132,PA
4,2020,1.0242110547429475,PA
5,2021,1.0727472740341673,PA
6,2022,0.4571029965100286,PA
7,2023,0.7063656270780201,PA
8,2024,0.25711236253584113,PA
9,2025,0.5546742433865068,PA
