,Year,Nasal,State
0,1999,1.0,PA
1,2000,1.0,PA
2,2001,0.7,PA
3,2002,1.1,PA
4,2003,1.2,PA
5,2004,0.9,PA
6,2005,1.1,PA
7,2006,1.1,PA
8,2007,1.2,PA
9,2008,1.1,PA
10,2009,1.1,PA
11,2010,1.1,PA
12,2011,0.8,PA
13,2012,1.0,PA
14,2013,1.2,PA
15,2014,1.1,PA
16,2015,1.0,PA
0,2016,1.0312675887063185,PA
1,2017,0.6449124717930517,PA
2,2018,0.9206136234582152,PA
3,2019,0.3804222793339257,PA
4,2020,0.4156243591495712,PA
5,2021,0.26150503461702646,PA
6,2022,0.14630593877077305,PA
7,2023,0.27507092836536345,PA
8,2024,0.018885942835471393,PA
9,2025,0.1451875142546895,PA
