,Year,Larynx,State
0,1999,98.5,PA
1,2000,99.1,PA
2,2001,100.5,PA
3,2002,100.3,PA
4,2003,100.9,PA
5,2004,97.9,PA
6,2005,100.0,PA
7,2006,99.9,PA
8,2007,99.0,PA
9,2008,98.1,PA
10,2009,97.5,PA
11,2010,96.3,PA
12,2011,97.5,PA
13,2012,95.8,PA
14,2013,95.8,PA
15,2014,94.8,PA
16,2015,94.1,PA
0,2016,94.06029065926774,PA
1,2017,60.59633503295823,PA
2,2018,45.96787877501426,PA
3,2019,21.026301286932693,PA
4,2020,5.180550422891024,PA
5,2021,0.0,PA
6,2022,4.074276141129975,PA
7,2023,0.0,PA
8,2024,0.0,PA
9,2025,0.0,PA
