,Year,Larynx,State
0,1999,106.6,RI
1,2000,106.9,RI
2,2001,102.4,RI
3,2002,100.9,RI
4,2003,97.7,RI
5,2004,103.7,RI
6,2005,93.4,RI
7,2006,90.8,RI
8,2007,105.7,RI
9,2008,94.6,RI
10,2009,96.9,RI
11,2010,83.6,RI
12,2011,90.2,RI
13,2012,97.4,RI
14,2013,93.6,RI
15,2014,96.4,RI
16,2015,93.2,RI
0,2016,93.56569024897519,RI
1,2017,72.55242925013357,RI
2,2018,70.1038910551203,RI
3,2019,49.81217588283707,RI
4,2020,46.54560416792164,RI
5,2021,0.0,RI
6,2022,40.78117666837326,RI
7,2023,0.0,RI
8,2024,19.93238992913568,RI
9,2025,0.0,RI
