,Year,Lung,State
0,1999,2.7,SC
1,2000,1.9,SC
2,2001,2.2,SC
3,2002,2.0,SC
4,2003,2.0,SC
5,2004,1.3,SC
6,2005,2.2,SC
7,2006,1.8,SC
8,2007,2.3,SC
9,2008,2.5,SC
10,2009,2.1,SC
11,2010,2.3,SC
12,2011,2.0,SC
13,2012,2.3,SC
14,2013,1.9,SC
15,2014,1.9,SC
16,2015,1.9,SC
0,2016,1.9240785255859594,SC
1,2017,1.6042993081012722,SC
2,2018,0.7494502177639214,SC
3,2019,1.13474959676449,SC
4,2020,0.9063649787649757,SC
5,2021,1.0112184565623297,SC
6,2022,0.5071320059857436,SC
7,2023,0.5152748626913966,SC
8,2024,0.13125575998003902,SC
9,2025,0.4521843516793853,SC
