,Year,Larynx,State
0,1999,111.6,SC
1,2000,102.9,SC
2,2001,107.2,SC
3,2002,107.9,SC
4,2003,107.8,SC
5,2004,104.7,SC
6,2005,108.2,SC
7,2006,106.7,SC
8,2007,109.1,SC
9,2008,106.0,SC
10,2009,106.5,SC
11,2010,102.9,SC
12,2011,103.7,SC
13,2012,104.9,SC
14,2013,100.8,SC
15,2014,106.4,SC
16,2015,102.1,SC
0,2016,104.6206356882521,SC
1,2017,95.35861411579252,SC
2,2018,18.19383030035806,SC
3,2019,68.31085215130553,SC
4,2020,0.0,SC
5,2021,76.88346400941572,SC
6,2022,0.0,SC
7,2023,103.79400095582105,SC
8,2024,0.0,SC
9,2025,165.44842242510492,SC
