,Year,Lung,State
0,1999,8.2,TN
1,2000,6.0,TN
2,2001,6.4,TN
3,2002,6.9,TN
4,2003,7.7,TN
5,2004,7.3,TN
6,2005,10.1,TN
7,2006,8.3,TN
8,2007,6.6,TN
9,2008,7.5,TN
10,2009,6.2,TN
11,2010,8.8,TN
12,2011,7.6,TN
13,2012,7.7,TN
14,2013,6.3,TN
15,2014,7.7,TN
16,2015,5.1,TN
0,2016,8.285980743367748,TN
1,2017,6.240692293207921,TN
2,2018,5.3824530446940955,TN
3,2019,4.854133432864771,TN
4,2020,5.550123747860703,TN
5,2021,4.087797732557983,TN
6,2022,3.081818939904988,TN
7,2023,2.050925748065441,TN
8,2024,2.0230776714934895,TN
9,2025,1.473823374853009,TN
