,Year,Larynx,State
0,1999,62.9,TN
1,2000,52.5,TN
2,2001,50.7,TN
3,2002,60.6,TN
4,2003,60.5,TN
5,2004,74.1,TN
6,2005,75.9,TN
7,2006,66.2,TN
8,2007,64.8,TN
9,2008,64.7,TN
10,2009,78.8,TN
11,2010,72.9,TN
12,2011,76.2,TN
13,2012,74.6,TN
14,2013,66.5,TN
15,2014,66.9,TN
16,2015,71.4,TN
0,2016,75.04281415012167,TN
1,2017,33.33572596974726,TN
2,2018,50.136312077436514,TN
3,2019,40.02161830528591,TN
4,2020,44.68388586381096,TN
5,2021,29.796720402952523,TN
6,2022,12.070505837737802,TN
7,2023,17.003774573265012,TN
8,2024,15.656273804475411,TN
9,2025,15.565486263661366,TN
