,Year,Lung,State
0,1999,1.9,TN
1,2000,2.3,TN
2,2001,2.6,TN
3,2002,2.5,TN
4,2003,2.7,TN
5,2004,2.2,TN
6,2005,2.4,TN
7,2006,2.5,TN
8,2007,2.2,TN
9,2008,2.6,TN
10,2009,2.6,TN
11,2010,2.5,TN
12,2011,2.4,TN
13,2012,2.5,TN
14,2013,3.2,TN
15,2014,2.1,TN
16,2015,2.3,TN
0,2016,3.073731612542797,TN
1,2017,3.0350504462119,TN
2,2018,3.1132276007800224,TN
3,2019,1.429884090105753,TN
4,2020,2.392689337954846,TN
5,2021,1.1427209489308985,TN
6,2022,1.5295857298659428,TN
7,2023,1.288216443767633,TN
8,2024,0.20873842296691003,TN
9,2025,2.019410892999707,TN
