,Year,Larynx,State
0,1999,56.6,TN
1,2000,59.4,TN
2,2001,60.7,TN
3,2002,68.3,TN
4,2003,71.7,TN
5,2004,72.7,TN
6,2005,76.2,TN
7,2006,77.9,TN
8,2007,79.1,TN
9,2008,81.6,TN
10,2009,83.0,TN
11,2010,81.9,TN
12,2011,82.9,TN
13,2012,87.1,TN
14,2013,84.0,TN
15,2014,85.9,TN
16,2015,92.9,TN
0,2016,85.82538556490752,TN
1,2017,69.55083779267478,TN
2,2018,122.35010899532404,TN
3,2019,0.0,TN
4,2020,88.15171437736456,TN
5,2021,91.03563806443738,TN
6,2022,0.0,TN
7,2023,430.2837111378551,TN
8,2024,0.0,TN
9,2025,0.0,TN
