,Year,Larynx,State
0,1999,95.0,TN
1,2000,93.0,TN
2,2001,96.4,TN
3,2002,93.2,TN
4,2003,105.2,TN
5,2004,117.3,TN
6,2005,115.1,TN
7,2006,116.8,TN
8,2007,109.8,TN
9,2008,110.3,TN
10,2009,112.7,TN
11,2010,111.6,TN
12,2011,108.5,TN
13,2012,107.5,TN
14,2013,113.7,TN
15,2014,111.9,TN
16,2015,114.5,TN
0,2016,112.40835236666707,TN
1,2017,27.733965289572634,TN
2,2018,16.80310659513404,TN
3,2019,19.33828531916201,TN
4,2020,33.41885543751988,TN
5,2021,0.0,TN
6,2022,0.0,TN
7,2023,0.0,TN
8,2024,6.227735675605086,TN
9,2025,4.11997266170501,TN
