,Year,Larynx,State
0,1999,35.8,TX
1,2000,37.6,TX
2,2001,39.6,TX
3,2002,39.6,TX
4,2003,40.2,TX
5,2004,39.2,TX
6,2005,44.2,TX
7,2006,39.3,TX
8,2007,38.3,TX
9,2008,41.1,TX
10,2009,40.0,TX
11,2010,39.3,TX
12,2011,39.3,TX
13,2012,43.7,TX
14,2013,39.3,TX
15,2014,36.7,TX
16,2015,37.5,TX
0,2016,41.07452143142748,TX
1,2017,30.94914202314328,TX
2,2018,27.999379461451078,TX
3,2019,11.60668285451895,TX
4,2020,0.3091823096216313,TX
5,2021,3.514527123594032,TX
6,2022,2.2958133107744256,TX
7,2023,0.0,TX
8,2024,0.0,TX
9,2025,0.0,TX
