,Year,Lung,State
0,1999,8.8,TX
1,2000,7.4,TX
2,2001,8.8,TX
3,2002,8.8,TX
4,2003,8.4,TX
5,2004,9.1,TX
6,2005,7.6,TX
7,2006,6.9,TX
8,2007,7.5,TX
9,2008,7.5,TX
10,2009,7.3,TX
11,2010,5.5,TX
12,2011,5.8,TX
13,2012,6.0,TX
14,2013,6.4,TX
15,2014,5.6,TX
16,2015,5.2,TX
0,2016,4.578799782751142,TX
1,2017,3.5862874840050054,TX
2,2018,5.1955841674410355,TX
3,2019,3.964727104256723,TX
4,2020,1.3226671620393682,TX
5,2021,0.9085057767626705,TX
6,2022,1.0303232629889658,TX
7,2023,0.8529192164708843,TX
8,2024,0.0,TX
9,2025,0.0,TX
