,Year,Lung,State
0,1999,1.7,TX
1,2000,1.5,TX
2,2001,1.2,TX
3,2002,1.3,TX
4,2003,1.4,TX
5,2004,1.2,TX
6,2005,1.3,TX
7,2006,1.2,TX
8,2007,1.4,TX
9,2008,1.3,TX
10,2009,1.3,TX
11,2010,1.3,TX
12,2011,1.4,TX
13,2012,1.3,TX
14,2013,1.2,TX
15,2014,1.0,TX
16,2015,1.1,TX
0,2016,1.2147655592816708,TX
1,2017,0.5711370295954381,TX
2,2018,0.5528736213259431,TX
3,2019,0.959705331310676,TX
4,2020,0.7326814500543803,TX
5,2021,0.2298439103624695,TX
6,2022,0.0,TX
7,2023,0.252110743307419,TX
8,2024,0.43214377476665844,TX
9,2025,0.3472715326813737,TX
