,Year,Lung,State
0,1999,6.7,TX
1,2000,6.3,TX
2,2001,6.4,TX
3,2002,6.1,TX
4,2003,6.2,TX
5,2004,5.9,TX
6,2005,5.6,TX
7,2006,6.1,TX
8,2007,6.2,TX
9,2008,5.7,TX
10,2009,5.9,TX
11,2010,5.4,TX
12,2011,5.7,TX
13,2012,5.3,TX
14,2013,5.4,TX
15,2014,5.3,TX
16,2015,5.1,TX
0,2016,5.179605363869076,TX
1,2017,4.382686012517593,TX
2,2018,3.8225539381789977,TX
3,2019,3.2187581937990983,TX
4,2020,2.8394991265243426,TX
5,2021,0.95527265876513,TX
6,2022,1.928617554194344,TX
7,2023,0.3230414767605847,TX
8,2024,1.3411195987201632,TX
9,2025,0.0,TX
