,Year,Trachea,State
0,1999,0.3,TX
1,2000,0.2,TX
2,2001,0.3,TX
3,2002,0.3,TX
4,2003,0.3,TX
5,2004,0.3,TX
6,2005,0.3,TX
7,2006,0.2,TX
8,2007,0.2,TX
9,2008,0.3,TX
10,2009,0.2,TX
11,2010,0.3,TX
12,2011,0.3,TX
13,2012,0.3,TX
14,2013,0.4,TX
15,2014,0.4,TX
16,2015,0.2,TX
0,2016,0.3286890064667841,TX
1,2017,0.1898258485429429,TX
2,2018,0.055013455590554164,TX
3,2019,0.1766616682435403,TX
4,2020,0.2777576487712131,TX
5,2021,0.17270616457503246,TX
6,2022,0.21697785067974482,TX
7,2023,0.048428725743847253,TX
8,2024,0.0,TX
9,2025,0.12125818560686301,TX
