,Year,Larynx,State
0,1999,70.6,TX
1,2000,68.6,TX
2,2001,70.0,TX
3,2002,70.1,TX
4,2003,69.8,TX
5,2004,67.4,TX
6,2005,68.5,TX
7,2006,64.5,TX
8,2007,65.6,TX
9,2008,65.1,TX
10,2009,60.5,TX
11,2010,60.5,TX
12,2011,59.1,TX
13,2012,58.4,TX
14,2013,57.2,TX
15,2014,56.6,TX
16,2015,54.6,TX
0,2016,53.95305805674146,TX
1,2017,49.60128379343135,TX
2,2018,25.20971663380138,TX
3,2019,17.24015416826261,TX
4,2020,13.011524883149551,TX
5,2021,5.1449783264846864,TX
6,2022,3.583751179285617,TX
7,2023,0.9816571256210125,TX
8,2024,0.0,TX
9,2025,0.0,TX
