,Year,Larynx,State
0,1999,29.4,UT
1,2000,27.0,UT
2,2001,27.6,UT
3,2002,26.0,UT
4,2003,28.0,UT
5,2004,26.5,UT
6,2005,25.6,UT
7,2006,24.8,UT
8,2007,25.2,UT
9,2008,21.7,UT
10,2009,27.6,UT
11,2010,22.1,UT
12,2011,25.6,UT
13,2012,28.4,UT
14,2013,23.1,UT
15,2014,23.0,UT
16,2015,23.7,UT
0,2016,13.656415500509135,UT
1,2017,16.78786436959514,UT
2,2018,7.307793851215809,UT
3,2019,10.296999714014774,UT
4,2020,33.110946576590514,UT
5,2021,18.75374860613709,UT
6,2022,12.312557618450803,UT
7,2023,12.053207984384372,UT
8,2024,0.0,UT
9,2025,18.147298995289148,UT
