,Year,Lung,State
0,1999,9.7,VA
1,2000,8.4,VA
2,2001,9.7,VA
3,2002,8.2,VA
4,2003,8.4,VA
5,2004,7.9,VA
6,2005,7.5,VA
7,2006,7.1,VA
8,2007,7.4,VA
9,2008,8.6,VA
10,2009,7.9,VA
11,2010,7.6,VA
12,2011,6.9,VA
13,2012,8.0,VA
14,2013,6.2,VA
15,2014,7.0,VA
16,2015,6.0,VA
0,2016,6.817861172991053,VA
1,2017,3.670427252261298,VA
2,2018,2.569272225395961,VA
3,2019,2.9490951480536722,VA
4,2020,0.5407505836793143,VA
5,2021,1.358545504194145,VA
6,2022,0.0,VA
7,2023,1.4785148677991256,VA
8,2024,0.0,VA
9,2025,1.9994203188886601,VA
