,Year,Larynx,State
0,1999,65.7,VA
1,2000,65.6,VA
2,2001,63.9,VA
3,2002,63.1,VA
4,2003,72.0,VA
5,2004,72.7,VA
6,2005,69.9,VA
7,2006,69.4,VA
8,2007,68.0,VA
9,2008,69.8,VA
10,2009,72.1,VA
11,2010,64.4,VA
12,2011,63.3,VA
13,2012,73.4,VA
14,2013,65.9,VA
15,2014,66.8,VA
16,2015,59.6,VA
0,2016,61.776241099593975,VA
1,2017,52.09764125039311,VA
2,2018,47.02106219356807,VA
3,2019,15.571565581411217,VA
4,2020,32.706096661825356,VA
5,2021,0.0,VA
6,2022,30.05279742776657,VA
7,2023,0.0,VA
8,2024,0.0,VA
9,2025,39.80740285772785,VA
