,Year,Lung,State
0,1999,1.9,VA
1,2000,2.0,VA
2,2001,1.5,VA
3,2002,1.9,VA
4,2003,2.0,VA
5,2004,1.2,VA
6,2005,1.9,VA
7,2006,1.5,VA
8,2007,1.9,VA
9,2008,1.9,VA
10,2009,1.4,VA
11,2010,1.5,VA
12,2011,1.3,VA
13,2012,1.5,VA
14,2013,2.0,VA
15,2014,1.4,VA
16,2015,1.4,VA
0,2016,1.0522382289154297,VA
1,2017,1.1929997884609347,VA
2,2018,1.641094308966229,VA
3,2019,2.042596498758439,VA
4,2020,1.3524644525564598,VA
5,2021,0.18911572593908244,VA
6,2022,0.3770094606593074,VA
7,2023,0.6516393668858096,VA
8,2024,1.3729084548328605,VA
9,2025,0.41755737446482843,VA
