,Year,Nasal,State
0,1999,0.7,VA
1,2000,0.8,VA
2,2001,0.8,VA
3,2002,0.8,VA
4,2003,1.0,VA
5,2004,0.9,VA
6,2005,1.3,VA
7,2006,1.3,VA
8,2007,0.8,VA
9,2008,1.2,VA
10,2009,0.6,VA
11,2010,0.9,VA
12,2011,0.8,VA
13,2012,0.7,VA
14,2013,1.0,VA
15,2014,1.1,VA
16,2015,1.0,VA
0,2016,1.2823498326650626,VA
1,2017,0.6817158038770696,VA
2,2018,0.0,VA
3,2019,0.04562788303474713,VA
4,2020,0.23738512024359312,VA
5,2021,0.5034324408534655,VA
6,2022,0.5870327262889281,VA
7,2023,0.37213598346630666,VA
8,2024,0.13477368231941844,VA
9,2025,0.0,VA
