,Year,Larynx,State
0,1999,73.2,VA
1,2000,72.0,VA
2,2001,68.0,VA
3,2002,74.1,VA
4,2003,84.7,VA
5,2004,84.5,VA
6,2005,82.6,VA
7,2006,79.4,VA
8,2007,80.5,VA
9,2008,82.9,VA
10,2009,79.5,VA
11,2010,80.1,VA
12,2011,74.5,VA
13,2012,78.6,VA
14,2013,75.0,VA
15,2014,75.1,VA
16,2015,69.8,VA
0,2016,69.48928112221617,VA
1,2017,48.19855901291282,VA
2,2018,0.0,VA
3,2019,37.671410157772584,VA
4,2020,0.0,VA
5,2021,30.606208748888122,VA
6,2022,0.0,VA
7,2023,76.99642730394953,VA
8,2024,0.0,VA
9,2025,152.41658411905354,VA
