,Year,Lung,State
0,1999,5.5,VT
1,2000,6.8,VT
2,2001,7.2,VT
3,2002,6.4,VT
4,2003,8.8,VT
5,2004,9.8,VT
6,2005,7.7,VT
7,2006,7.1,VT
8,2007,8.4,VT
9,2008,8.4,VT
10,2009,7.7,VT
11,2010,8.4,VT
12,2011,10.4,VT
13,2012,6.4,VT
14,2013,8.1,VT
15,2014,9.4,VT
16,2015,7.1,VT
0,2016,7.130229915514834,VT
1,2017,8.890314166762707,VT
2,2018,7.644496657784234,VT
3,2019,2.6578329769116213,VT
4,2020,6.293335863760595,VT
5,2021,4.65089411586921,VT
6,2022,0.0,VT
7,2023,5.165280788216437,VT
8,2024,1.5182457037808499,VT
9,2025,0.0,VT
