,Year,Larynx,State
0,1999,89.1,VT
1,2000,85.9,VT
2,2001,77.4,VT
3,2002,72.8,VT
4,2003,91.2,VT
5,2004,79.5,VT
6,2005,83.7,VT
7,2006,94.7,VT
8,2007,86.3,VT
9,2008,87.3,VT
10,2009,84.0,VT
11,2010,93.2,VT
12,2011,83.8,VT
13,2012,89.9,VT
14,2013,89.3,VT
15,2014,81.4,VT
16,2015,91.4,VT
0,2016,86.59228841351464,VT
1,2017,87.91303759206181,VT
2,2018,43.81156789720047,VT
3,2019,38.33831227316916,VT
4,2020,20.817515029640816,VT
5,2021,17.18546962249016,VT
6,2022,9.223077078670627,VT
7,2023,8.829422001624707,VT
8,2024,3.922751490787448,VT
9,2025,5.5340169599462286,VT
