,Year,Lung,State
0,1999,5.9,WA
1,2000,5.4,WA
2,2001,6.1,WA
3,2002,4.0,WA
4,2003,4.2,WA
5,2004,5.2,WA
6,2005,5.5,WA
7,2006,5.2,WA
8,2007,5.0,WA
9,2008,5.1,WA
10,2009,5.0,WA
11,2010,4.8,WA
12,2011,5.4,WA
13,2012,5.1,WA
14,2013,4.4,WA
15,2014,4.9,WA
16,2015,4.8,WA
0,2016,4.718487101723522,WA
1,2017,2.8662019468186006,WA
2,2018,5.298579706789763,WA
3,2019,2.4060871685596346,WA
4,2020,2.333069694429813,WA
5,2021,3.1328891076893894,WA
6,2022,0.4034195020052467,WA
7,2023,1.4319398928719633,WA
8,2024,1.9561638567547652,WA
9,2025,0.0,WA
