,Year,Nasal,State
0,1999,0.7,WA
1,2000,0.9,WA
2,2001,0.7,WA
3,2002,0.8,WA
4,2003,0.6,WA
5,2004,0.6,WA
6,2005,1.0,WA
7,2006,1.1,WA
8,2007,0.9,WA
9,2008,0.9,WA
10,2009,1.3,WA
11,2010,1.1,WA
12,2011,1.0,WA
13,2012,1.0,WA
14,2013,0.9,WA
15,2014,0.9,WA
16,2015,1.0,WA
0,2016,1.0446230664417835,WA
1,2017,0.17140597819104547,WA
2,2018,0.8190101045108114,WA
3,2019,0.5973923162233444,WA
4,2020,0.0,WA
5,2021,0.5478357489729835,WA
6,2022,0.5066733515356541,WA
7,2023,0.0,WA
8,2024,0.3820714118996319,WA
9,2025,0.5662153762154551,WA
